ensembl_gene_id,RPE1_baseline,K562_Ess_baseline,K562_GWPS_baseline,gene_name
ENSG00000000003,0.23271894,,,TSPAN6
ENSG00000000419,0.67816085,1.163626,0.81654865,DPM1
ENSG00000000457,,0.12679112,0.10661841,SCYL3
ENSG00000000460,,0.41282862,0.29372922,C1orf112
ENSG00000000971,0.5752445,,,CFH
ENSG00000001036,1.2697634,1.0064725,0.880451,FUCA2
ENSG00000001084,0.13138232,0.29819348,0.22730374,GCLC
ENSG00000001167,,0.12988433,,NFYA
ENSG00000001460,0.12424903,,,STPG1
ENSG00000001461,0.4459735,0.12795605,0.13026094,NIPAL3
ENSG00000001497,0.46358037,1.290236,0.94736713,LAS1L
ENSG00000001629,0.67146635,0.19665264,0.1639107,ANKIB1
ENSG00000001630,0.74270225,1.2504741,1.1455338,CYP51A1
ENSG00000001631,0.36665437,0.60176986,0.47182748,KRIT1
ENSG00000002330,1.1073571,0.34320608,0.29043603,BAD
ENSG00000002549,0.37504533,1.0363821,0.75756353,LAP3
ENSG00000002586,1.9573687,1.5920913,1.4673575,CD99
ENSG00000002822,0.22201717,0.5355585,0.5107284,MAD1L1
ENSG00000002834,0.82713675,0.42757368,0.35602984,LASP1
ENSG00000002919,0.105103195,,,SNX11
ENSG00000003056,1.8451308,0.98624516,0.81304765,M6PR
ENSG00000003147,,0.16701786,0.19120379,ICA1
ENSG00000003249,0.13223769,,,DBNDD1
ENSG00000003393,0.20944169,0.19851957,0.1575066,ALS2
ENSG00000003400,,0.1569431,0.15173486,CASP10
ENSG00000003402,0.3027152,0.9061175,0.8615442,CFLAR
ENSG00000003436,2.121244,0.29121014,0.30860162,TFPI
ENSG00000003509,0.142384,0.31924316,0.24493381,NDUFAF7
ENSG00000003756,0.41448745,0.82252413,0.6469794,RBM5
ENSG00000004059,0.83490443,1.4370567,1.2048469,ARF5
ENSG00000004142,0.90466434,1.0988792,0.8263903,POLDIP2
ENSG00000004455,1.1666725,3.8889873,2.7904456,AK2
ENSG00000004478,1.420709,2.3910713,1.652466,FKBP4
ENSG00000004487,1.3861318,2.366028,2.0470865,KDM1A
ENSG00000004534,0.46483433,1.1475433,0.89656824,RBM6
ENSG00000004700,1.6225666,0.36796847,0.2981943,RECQL
ENSG00000004766,0.16854103,0.17046732,0.12654562,VPS50
ENSG00000004779,3.1175537,6.482058,4.619631,NDUFAB1
ENSG00000004864,0.21364973,0.5488794,0.40135884,SLC25A13
ENSG00000004866,0.14303748,0.37595996,0.26863727,ST7
ENSG00000004897,1.1360242,0.99951494,0.75248516,CDC27
ENSG00000004961,0.5703213,1.0250663,0.69047594,HCCS
ENSG00000004975,0.18338923,0.23047177,0.17345011,DVL2
ENSG00000005007,0.32079497,0.64428085,0.47162402,UPF1
ENSG00000005020,,0.41468003,0.36043844,SKAP2
ENSG00000005022,5.7404585,5.2036967,4.4907546,SLC25A5
ENSG00000005059,0.69220924,0.4006865,0.34808937,MCUB
ENSG00000005075,1.7856507,2.0885587,1.5189834,POLR2J
ENSG00000005100,0.31936812,0.4706619,0.31262463,DHX33
ENSG00000005156,0.19313629,0.4929424,0.39496568,LIG3
ENSG00000005175,0.46207076,0.72591,0.51387894,RPAP3
ENSG00000005187,,0.79430443,1.0899242,ACSM3
ENSG00000005189,,0.17598763,0.15623988,REXO5
ENSG00000005194,0.55833715,0.8996975,0.64763075,CIAPIN1
ENSG00000005206,0.21454206,0.31826735,0.32632545,SPPL2B
ENSG00000005238,0.20273477,,,FAM214B
ENSG00000005243,0.88621545,,,COPZ2
ENSG00000005249,0.23361978,5.5314755,4.0339613,PRKAR2B
ENSG00000005302,0.37602854,0.24745752,0.20877211,MSL3
ENSG00000005339,0.4780934,0.57919157,0.4218614,CREBBP
ENSG00000005436,0.28414872,0.2956261,0.22583275,GCFC2
ENSG00000005448,1.0865943,0.16270256,0.14813098,WDR54
ENSG00000005469,0.16322057,,,CROT
ENSG00000005483,0.8162087,1.0436935,0.8408151,KMT2E
ENSG00000005486,0.2758311,0.120617874,0.11834645,RHBDD2
ENSG00000005700,0.634934,0.54854876,0.48441276,IBTK
ENSG00000005801,0.16253473,0.3617971,0.32583705,ZNF195
ENSG00000005810,0.9334809,2.0442574,1.6277875,MYCBP2
ENSG00000005812,0.23347777,0.31686276,0.2370544,FBXL3
ENSG00000005882,0.1804977,,,PDK2
ENSG00000005884,3.9316103,,,ITGA3
ENSG00000005889,0.5420792,0.45130146,0.3464744,ZFX
ENSG00000005893,1.3682337,0.32298875,0.2983594,LAMP2
ENSG00000006007,0.5977729,0.268783,0.28417304,GDE1
ENSG00000006015,1.4016576,1.5038002,1.1573281,REX1BD
ENSG00000006042,0.16438796,0.5730645,0.5126052,TMEM98
ENSG00000006118,0.21045342,,,TMEM132A
ENSG00000006125,1.2692637,1.2769017,0.8993165,AP2B1
ENSG00000006194,0.11801582,0.15667766,0.12968148,ZNF263
ENSG00000006282,0.21060695,,,SPATA20
ENSG00000006327,9.515956,0.24413581,0.17738688,TNFRSF12A
ENSG00000006451,1.4243802,1.3401676,1.0880141,RALA
ENSG00000006453,0.1878375,0.31595445,0.26251608,BAIAP2L1
ENSG00000006459,,0.10252551,,KDM7A
ENSG00000006468,0.32847232,,,ETV1
ENSG00000006530,0.12924351,0.26791114,0.21003914,AGK
ENSG00000006534,0.18103042,,,ALDH3B1
ENSG00000006576,0.41402516,0.40757683,0.3032911,PHTF2
ENSG00000006607,0.13079645,0.12730426,,FARP2
ENSG00000006625,1.0894954,1.9155034,1.5201412,GGCT
ENSG00000006634,0.74819994,1.5898215,1.0986941,DBF4
ENSG00000006638,,0.17420712,0.16326104,TBXA2R
ENSG00000006652,0.2923767,0.6417421,0.36845726,IFRD1
ENSG00000006695,0.12631197,0.22935368,0.1705349,COX10
ENSG00000006704,0.13450465,,,GTF2IRD1
ENSG00000006712,0.5676016,0.35047546,0.2674732,PAF1
ENSG00000006715,0.46061057,0.49979383,0.39905736,VPS41
ENSG00000006744,0.45308045,0.59260154,0.4443064,ELAC2
ENSG00000006757,,0.3869607,0.304044,PNPLA4
ENSG00000006831,0.5159833,0.41582283,0.32411733,ADIPOR2
ENSG00000007038,,1.3812891,1.1361284,PRSS21
ENSG00000007047,0.19177288,0.20887467,0.1922199,MARK4
