target_gene,age_direction,ARE_enrichment
FAM133B,DOWN,0.04654380321665085
PTPMT1,UP,-0.09507360454115427
PES1,UP,0.10286168401135291
FAM102B,DOWN,-0.048328476821192144
SRA1,UP,0.040920340586565726
GTF2F2,UP,-0.029161778618732308
PTEN,DOWN,-0.1928476821192054
S100A1,UP,-0.08568855250709562
EXOSC1,UP,0.04225998107852418
MRPS18A,UP,-0.041092904446546785
UHRF1,DOWN,0.01434853358561959
TMEM214,UP,0.0864938505203406
ATP6V0B,UP,0.020775780510879745
NOC4L,UP,0.07101608325449384
ABCB10,UP,0.07016688741721851
RFT1,UP,-0.010509744560075758
C9orf16,UP,0.05542630085146645
ARL6IP6,DOWN,0.08139716177861878
EXOC2,DOWN,0.07727379375591294
DNAJA1,DOWN,0.010998675496688728
NOC2L,UP,0.05902289498580898
COPE,UP,0.02853358561967824
PRPF38B,DOWN,0.005237464522232767
MRPL38,UP,-0.07895856196783342
ARFRP1,UP,0.031943992431409635
NAPA,UP,0.08260662251655626
TSEN54,DOWN,-0.032731125827814476
MED22,UP,0.052961967833491094
WDR26,DOWN,0.1168227057710501
MED28,DOWN,-0.04552658467360452
SMG1,DOWN,0.025472847682119132
