ensembl_gene_id,hgnc_symbol
ENSG00000135338,LCA5
ENSG00000135407,AVIL
ENSG00000163590,PPM1L
ENSG00000089127,OAS1
ENSG00000149489,ROM1
ENSG00000197405,C5AR1
ENSG00000115363,EVA1A
ENSG00000164619,BMPER
ENSG00000172260,NEGR1
ENSG00000138308,PLA2G12B
ENSG00000172007,RAB33B
ENSG00000138769,CDKL2
ENSG00000101460,MAP1LC3A
ENSG00000159251,ACTC1
ENSG00000079931,MOXD1
ENSG00000198053,SIRPA
ENSG00000104369,JPH1
ENSG00000134201,GSTM5
ENSG00000180574,EIF2S3B
ENSG00000108823,SGCA
ENSG00000126583,PRKCG
ENSG00000272772,
ENSG00000117266,CDK18
ENSG00000177181,RIMKLA
ENSG00000279821,
ENSG00000101198,NKAIN4
ENSG00000133216,EPHB2
ENSG00000127946,HIP1
ENSG00000127311,HELB
ENSG00000119900,OGFRL1
ENSG00000107186,MPDZ
ENSG00000112624,BICRAL
ENSG00000175229,GAL3ST3
ENSG00000265354,TIMM23
ENSG00000285218,
ENSG00000163453,IGFBP7
ENSG00000118257,NRP2
ENSG00000111799,COL12A1
ENSG00000169031,COL4A3
ENSG00000254870,ATP6V1G2-DDX39B
ENSG00000185532,PRKG1
ENSG00000120937,NPPB
ENSG00000107736,CDH23
ENSG00000177427,MIEF2
ENSG00000204618,RNF39
ENSG00000171931,FBXW10
ENSG00000172638,EFEMP2
ENSG00000136881,BAAT
ENSG00000076641,PAG1
ENSG00000142910,TINAGL1
ENSG00000181284,TMEM102
ENSG00000172062,SMN1
ENSG00000147852,VLDLR
ENSG00000163431,LMOD1
ENSG00000163697,APBB2
ENSG00000125735,TNFSF14
ENSG00000154864,PIEZO2
ENSG00000114993,RTKN
ENSG00000163629,PTPN13
ENSG00000169435,RASSF6
ENSG00000133131,MORC4
ENSG00000285708,
ENSG00000049192,ADAMTS6
ENSG00000064225,ST3GAL6
ENSG00000100167,SEPTIN3
ENSG00000118596,SLC16A7
ENSG00000149260,CAPN5
ENSG00000171631,P2RY6
ENSG00000146477,SLC22A3
ENSG00000116299,ELAPOR1
ENSG00000141664,ZCCHC2
ENSG00000186806,VSIG10L
ENSG00000170921,TANC2
ENSG00000126947,ARMCX1
ENSG00000164855,TMEM184A
ENSG00000178826,TMEM139
ENSG00000101335,MYL9
ENSG00000107562,CXCL12
ENSG00000101850,GPR143
ENSG00000099822,HCN2
ENSG00000122707,RECK
ENSG00000132821,VSTM2L
ENSG00000135631,RAB11FIP5
ENSG00000076770,MBNL3
ENSG00000186047,DLEU7
ENSG00000170011,MYRIP
ENSG00000129116,PALLD
ENSG00000231924,PSG1
ENSG00000141526,SLC16A3
ENSG00000196562,SULF2
ENSG00000074966,TXK
ENSG00000129354,AP1M2
ENSG00000121005,CRISPLD1
ENSG00000151725,CENPU
ENSG00000196507,TCEAL3
ENSG00000145431,PDGFC
ENSG00000197283,SYNGAP1
ENSG00000167202,TBC1D2B
ENSG00000038382,TRIO
ENSG00000118200,CAMSAP2
ENSG00000105339,DENND3
ENSG00000164265,SCGB3A2
ENSG00000079841,RIMS1
ENSG00000142675,CNKSR1
ENSG00000284686,
ENSG00000136514,RTP4
ENSG00000137801,THBS1
ENSG00000166046,TCP11L2
ENSG00000137573,SULF1
ENSG00000136114,THSD1
ENSG00000173210,ABLIM3
ENSG00000137094,DNAJB5
ENSG00000073910,FRY
ENSG00000158109,TPRG1L
ENSG00000169047,IRS1
ENSG00000158528,PPP1R9A
ENSG00000128881,TTBK2
ENSG00000111012,CYP27B1
ENSG00000158747,NBL1
ENSG00000162944,RFTN2
ENSG00000138642,HERC6
ENSG00000145242,EPHA5
ENSG00000173705,SUSD5
ENSG00000118473,SGIP1
ENSG00000181323,SPEM1
ENSG00000135678,CPM
ENSG00000105137,SYDE1
ENSG00000154589,LY96
ENSG00000281571,
ENSG00000132334,PTPRE
ENSG00000171401,KRT13
ENSG00000095637,SORBS1
ENSG00000095752,IL11
ENSG00000165730,STOX1
ENSG00000164142,FHIP1A
ENSG00000183454,GRIN2A
ENSG00000205482,SPDYE18
ENSG00000183066,WBP2NL
ENSG00000136830,NIBAN2
ENSG00000101670,LIPG
ENSG00000289281,
ENSG00000163617,CCDC191
ENSG00000110318,CEP126
ENSG00000142459,EVI5L
ENSG00000154447,SH3RF1
ENSG00000165115,KIF27
ENSG00000167100,SAMD14
ENSG00000053747,LAMA3
ENSG00000206199,ANKUB1
ENSG00000099860,GADD45B
ENSG00000152527,PLEKHH2
ENSG00000189337,KAZN
ENSG00000131773,KHDRBS3
ENSG00000130956,HABP4
ENSG00000179057,IGSF22
ENSG00000003987,MTMR7
ENSG00000140853,NLRC5
ENSG00000110975,SYT10
ENSG00000205929,C21orf62
ENSG00000163947,ARHGEF3
ENSG00000170289,CNGB3
ENSG00000129038,LOXL1
ENSG00000087245,MMP2
ENSG00000140950,MEAK7
ENSG00000196581,AJAP1
ENSG00000133169,BEX1
ENSG00000112406,HECA
ENSG00000133106,EPSTI1
ENSG00000099625,CBARP
ENSG00000142627,EPHA2
ENSG00000156804,FBXO32
ENSG00000177076,ACER2
ENSG00000169184,MN1
ENSG00000120594,PLXDC2
ENSG00000159082,SYNJ1
ENSG00000148935,GAS2
ENSG00000089723,OTUB2
ENSG00000168899,VAMP5
ENSG00000112796,ENPP5
ENSG00000137462,TLR2
ENSG00000141756,FKBP10
ENSG00000079308,TNS1
ENSG00000007384,RHBDF1
ENSG00000136960,ENPP2
ENSG00000184719,RNLS
ENSG00000139354,GAS2L3
ENSG00000057704,TMCC3
ENSG00000138356,AOX1
ENSG00000122432,SPATA1
ENSG00000162896,PIGR
ENSG00000159208,CIART
ENSG00000205517,RGL3
ENSG00000143858,SYT2
ENSG00000131738,KRT33B
ENSG00000135315,CEP162
ENSG00000166484,MAPK7
ENSG00000224578,HNRNPA1L3
ENSG00000174939,ASPHD1
ENSG00000121577,POPDC2
ENSG00000152092,ASTN1
ENSG00000038295,TLL1
ENSG00000167487,KLHL26
ENSG00000146555,SDK1
ENSG00000233493,TMEM238
ENSG00000149582,TMEM25
ENSG00000135525,MAP7
ENSG00000158089,GALNT14
ENSG00000114626,ABTB1
ENSG00000164542,KIAA0895
ENSG00000154856,APCDD1
ENSG00000133107,TRPC4
ENSG00000154529,CNTNAP3B
ENSG00000041982,TNC
ENSG00000106366,SERPINE1
ENSG00000198753,PLXNB3
ENSG00000111859,NEDD9
