ensembl_gene_id,hgnc_symbol
ENSG00000175115,PACS1
ENSG00000150961,SEC24D
ENSG00000155189,AGPAT5
ENSG00000133030,MPRIP
ENSG00000168765,GSTM4
ENSG00000163590,PPM1L
ENSG00000089127,OAS1
ENSG00000054277,OPN3
ENSG00000172794,RAB37
ENSG00000005108,THSD7A
ENSG00000115363,EVA1A
ENSG00000164619,BMPER
ENSG00000101311,FERMT1
ENSG00000131871,SELENOS
ENSG00000198888,MT-ND1
ENSG00000183337,BCOR
ENSG00000197119,SLC25A29
ENSG00000183621,ZNF438
ENSG00000256537,SMIM10L1
ENSG00000100243,CYB5R3
ENSG00000172260,NEGR1
ENSG00000132600,PRMT7
ENSG00000106526,ACTR3C
ENSG00000003393,ALS2
ENSG00000185347,TEDC1
ENSG00000109736,MFSD10
ENSG00000187775,DNAH17
ENSG00000186522,SEPTIN10
ENSG00000159251,ACTC1
ENSG00000279227,
ENSG00000079931,MOXD1
ENSG00000128165,ADM2
ENSG00000198053,SIRPA
ENSG00000179165,PXT1
ENSG00000108823,SGCA
ENSG00000128283,CDC42EP1
ENSG00000275111,ZNF2
ENSG00000077713,SLC25A43
ENSG00000136816,TOR1B
ENSG00000102007,PLP2
ENSG00000132694,ARHGEF11
ENSG00000117266,CDK18
ENSG00000177181,RIMKLA
ENSG00000129158,SERGEF
ENSG00000279821,
ENSG00000101198,NKAIN4
ENSG00000167363,FN3K
ENSG00000006327,TNFRSF12A
ENSG00000107897,ACBD5
ENSG00000133216,EPHB2
ENSG00000127946,HIP1
ENSG00000119900,OGFRL1
ENSG00000108309,RUNDC3A
ENSG00000069998,HDHD5
ENSG00000181788,SIAH2
ENSG00000197362,ZNF786
ENSG00000196968,FUT11
ENSG00000176624,MEX3C
ENSG00000143013,LMO4
ENSG00000110218,PANX1
ENSG00000285218,
ENSG00000163453,IGFBP7
ENSG00000118257,NRP2
ENSG00000111799,COL12A1
ENSG00000082781,ITGB5
ENSG00000169031,COL4A3
ENSG00000157368,IL34
ENSG00000118508,RAB32
ENSG00000177119,ANO6
ENSG00000120937,NPPB
ENSG00000186329,TMEM212
ENSG00000136770,DNAJC1
ENSG00000157036,EXOG
ENSG00000148248,SURF4
ENSG00000166130,IKBIP
ENSG00000204618,RNF39
ENSG00000196628,TCF4
ENSG00000144283,PKP4
ENSG00000153944,MSI2
ENSG00000182749,PAQR7
ENSG00000172638,EFEMP2
ENSG00000165185,KIAA1958
ENSG00000142910,TINAGL1
ENSG00000108924,HLF
ENSG00000214087,ARL16
ENSG00000100083,GGA1
ENSG00000151881,TMEM267
ENSG00000126458,RRAS
ENSG00000147852,VLDLR
ENSG00000198286,CARD11
ENSG00000163431,LMOD1
ENSG00000135723,FHOD1
ENSG00000168610,STAT3
ENSG00000228486,C2orf92
ENSG00000163704,PRRT3
ENSG00000163697,APBB2
ENSG00000186603,HPDL
ENSG00000168781,PPIP5K1
