ensembl_gene_id,hgnc_symbol
ENSG00000147027,TMEM47
ENSG00000073605,GSDMB
ENSG00000113391,FAM172A
ENSG00000164175,SLC45A2
ENSG00000177409,SAMD9L
ENSG00000168994,PXDC1
ENSG00000112139,MDGA1
ENSG00000186088,GSAP
ENSG00000154721,JAM2
ENSG00000204634,TBC1D8
ENSG00000005884,ITGA3
ENSG00000102312,PORCN
ENSG00000163590,PPM1L
ENSG00000089127,OAS1
ENSG00000103888,CEMIP
ENSG00000047578,KATNIP
ENSG00000005108,THSD7A
ENSG00000172794,RAB37
ENSG00000183773,AIFM3
ENSG00000115363,EVA1A
ENSG00000164619,BMPER
ENSG00000185860,CCDC190
ENSG00000169903,TM4SF4
ENSG00000101311,FERMT1
ENSG00000146858,ZC3HAV1L
ENSG00000134030,CTIF
ENSG00000214193,SH3D21
ENSG00000094796,KRT31
ENSG00000198888,MT-ND1
ENSG00000130822,PNCK
ENSG00000134508,CABLES1
ENSG00000138771,SHROOM3
ENSG00000166923,GREM1
ENSG00000213214,ARHGEF35
ENSG00000154027,AK5
ENSG00000167703,SLC43A2
ENSG00000153721,CNKSR3
ENSG00000197971,MBP
ENSG00000160282,FTCD
ENSG00000196526,AFAP1
ENSG00000256537,SMIM10L1
ENSG00000112319,EYA4
ENSG00000172260,NEGR1
ENSG00000077063,CTTNBP2
ENSG00000143387,CTSK
ENSG00000161653,NAGS
ENSG00000120217,CD274
ENSG00000173546,CSPG4
ENSG00000100311,PDGFB
ENSG00000140939,NOL3
ENSG00000187775,DNAH17
ENSG00000186522,SEPTIN10
ENSG00000133321,PLAAT4
ENSG00000159251,ACTC1
ENSG00000279227,
ENSG00000204128,C2orf72
ENSG00000079931,MOXD1
ENSG00000128165,ADM2
ENSG00000130363,RSPH3
ENSG00000126709,IFI6
ENSG00000198053,SIRPA
ENSG00000087250,MT3
ENSG00000128052,KDR
ENSG00000118965,WDR35
ENSG00000100767,PAPLN
ENSG00000105974,CAV1
ENSG00000181804,SLC9A9
ENSG00000170145,SIK2
ENSG00000183378,OVCH2
ENSG00000101204,CHRNA4
ENSG00000151388,ADAMTS12
ENSG00000158715,SLC45A3
ENSG00000114270,COL7A1
ENSG00000179165,PXT1
ENSG00000108823,SGCA
ENSG00000108602,ALDH3A1
ENSG00000242265,PEG10
ENSG00000101331,CCM2L
ENSG00000018236,CNTN1
ENSG00000157890,MEGF11
ENSG00000137642,SORL1
ENSG00000125378,BMP4
ENSG00000111816,FRK
ENSG00000173281,PPP1R3B
ENSG00000137841,PLCB2
ENSG00000118785,SPP1
ENSG00000125246,CLYBL
ENSG00000177728,TMEM94
ENSG00000187398,LUZP2
ENSG00000092969,TGFB2
ENSG00000189350,TOGARAM2
ENSG00000077713,SLC25A43
ENSG00000116574,RHOU
ENSG00000078098,FAP
ENSG00000198938,MT-CO3
ENSG00000113946,CLDN16
ENSG00000117266,CDK18
ENSG00000177181,RIMKLA
ENSG00000163820,FYCO1
ENSG00000157064,NMNAT2
ENSG00000187260,WDR86
ENSG00000099785,MARCHF2
ENSG00000151892,GFRA1
ENSG00000141574,SECTM1
ENSG00000081913,PHLPP1
ENSG00000101665,SMAD7
ENSG00000279821,
ENSG00000101198,NKAIN4
ENSG00000162461,SLC25A34
ENSG00000167363,FN3K
ENSG00000111452,ADGRD1
ENSG00000162407,PLPP3
ENSG00000163885,CFAP100
ENSG00000133216,EPHB2
ENSG00000127946,HIP1
ENSG00000132470,ITGB4
ENSG00000140807,NKD1
ENSG00000119900,OGFRL1
ENSG00000108309,RUNDC3A
ENSG00000204186,ZDBF2
ENSG00000164342,TLR3
ENSG00000111962,UST
ENSG00000138646,HERC5
ENSG00000135604,STX11
ENSG00000137033,IL33
ENSG00000054392,HHAT
ENSG00000235162,C12orf75
ENSG00000148483,TMEM236
ENSG00000013588,GPRC5A
ENSG00000163328,GPR155
ENSG00000076067,RBMS2
ENSG00000285218,
ENSG00000163453,IGFBP7
ENSG00000138162,TACC2
ENSG00000151640,DPYSL4
ENSG00000115461,IGFBP5
ENSG00000118257,NRP2
ENSG00000003137,CYP26B1
ENSG00000157168,NRG1
ENSG00000111799,COL12A1
ENSG00000123977,DAW1
ENSG00000169031,COL4A3
ENSG00000157368,IL34
ENSG00000162981,LRATD1
ENSG00000006740,ARHGAP44
ENSG00000101938,CHRDL1
ENSG00000072041,SLC6A15
ENSG00000156521,TYSND1
ENSG00000166482,MFAP4
ENSG00000120937,NPPB
ENSG00000186329,TMEM212
ENSG00000176788,BASP1
ENSG00000198648,STK39
ENSG00000211445,GPX3
ENSG00000204618,RNF39
ENSG00000133055,MYBPH
ENSG00000203780,FANK1
ENSG00000139192,TAPBPL
ENSG00000115252,PDE1A
ENSG00000182749,PAQR7
ENSG00000163827,LRRC2
ENSG00000172638,EFEMP2
ENSG00000135480,KRT7
ENSG00000101203,COL20A1
ENSG00000172765,TMCC1
ENSG00000145476,CYP4V2
ENSG00000106772,PRUNE2
ENSG00000142910,TINAGL1
ENSG00000106714,CNTNAP3
ENSG00000182612,TSPAN10
ENSG00000196358,NTNG2
ENSG00000183508,TENT5C
ENSG00000173597,SULT1B1
ENSG00000162383,SLC1A7
ENSG00000146205,ANO7
ENSG00000147852,VLDLR
ENSG00000086696,HSD17B2
ENSG00000163431,LMOD1
ENSG00000163520,FBLN2
ENSG00000162755,KLHDC9
ENSG00000224982,TMEM233
ENSG00000228486,C2orf92
ENSG00000044524,EPHA3
ENSG00000079739,PGM1
ENSG00000163704,PRRT3
ENSG00000163697,APBB2
ENSG00000101306,MYLK2
ENSG00000138496,PARP9
ENSG00000135636,DYSF
ENSG00000285558,
ENSG00000186603,HPDL
ENSG00000162687,KCNT2
ENSG00000080854,IGSF9B
ENSG00000172061,LRRC15
ENSG00000145555,MYO10
ENSG00000163803,PLB1
ENSG00000169435,RASSF6
ENSG00000139496,NUP58
ENSG00000178726,THBD
ENSG00000078401,EDN1
ENSG00000285708,
ENSG00000049192,ADAMTS6
ENSG00000136286,MYO1G
ENSG00000259316,
ENSG00000174721,FGFBP3
ENSG00000182253,SYNM
ENSG00000167772,ANGPTL4
ENSG00000071205,ARHGAP10
ENSG00000118596,SLC16A7
ENSG00000117519,CNN3
