category,gene,ARE_effect,enrichment_score
Query-UP,TUBGCP2,Activates,0.18579016527791364
Query-UP,RPS27A,Activates,0.16391922347565535
Query-UP,ANAPC5,Activates,0.15934015149063094
Query-UP,PTBP1,Activates,0.12591331111963855
Query-UP,UBA52,Activates,0.11966744152729544
Query-UP,CDK6,Activates,0.1159649017405908
Query-UP,PTEN,Suppresses,-0.16213688998983034
Query-UP,HMGB1,Suppresses,-0.12942714230476823
Query-UP,EHMT2,Suppresses,-0.06679129136761844
Query-UP,UBC,Suppresses,-0.06295164900508089
Query-UP,ANAPC15,Suppresses,-0.06008635921799314
Query-UP,CDC23,Suppresses,-0.05079496386808232
Query-DOWN,BUB1,Activates,0.19937564411251127
Query-DOWN,MAD2L1,Activates,0.19744850565893737
Query-DOWN,SMC4,Activates,0.18581096173605002
Query-DOWN,CSE1L,Activates,0.18354029660370597
Query-DOWN,UPF1,Activates,0.18121109329288615
Query-DOWN,PCNA,Activates,0.1749166986315844
Query-DOWN,YTHDC1,Suppresses,-0.1503167993788784
Query-DOWN,CBX1,Suppresses,-0.1283418752859472
Query-DOWN,CUL3,Suppresses,-0.1256267821409171
Query-DOWN,XRCC6,Suppresses,-0.11843351834478416
Query-DOWN,MNAT1,Suppresses,-0.11115090680259058
Query-DOWN,BIRC5,Suppresses,-0.108958806067628
