gene_symbol,ensembl_gene_id
ADIPOQ,ENSG00000181092
AHR,ENSG00000106546
ALOX5,ENSG00000012779
AOAH,ENSG00000136250
APCS,ENSG00000132703
APOA1,ENSG00000118137
APOE,ENSG00000130203
ARNT,ENSG00000143437
C1QTNF3,ENSG00000082196
CCN3,ENSG00000136999
CD200,ENSG00000091972
CD200R1,ENSG00000163606
CDH5,ENSG00000179776
CXCL17,ENSG00000189377
CYLD,ENSG00000083799
ELANE,ENSG00000197561
ELF4,ENSG00000102034
ENPP3,ENSG00000154269
EXTL3,ENSG00000012232
FEM1A,ENSG00000141965
FFAR4,ENSG00000186188
FGR,ENSG00000000938
FNDC4,ENSG00000115226
FPR2,ENSG00000171049
FURIN,ENSG00000140564
FXR1,ENSG00000114416
FYN,ENSG00000010810
GATA3,ENSG00000107485
GHRL,ENSG00000157017
GHSR,ENSG00000121853
GIT1,ENSG00000108262
GPER1,ENSG00000164850
GPR31,ENSG00000120436
GPS2,ENSG00000132522
GRN,ENSG00000030582
GSTP1,ENSG00000084207
HCK,ENSG00000101336
HLA-DRB1,ENSG00000196126
IGF1,ENSG00000017427
IL10,ENSG00000136634
IL10RA,ENSG00000110324
IL13,ENSG00000169194
IL22,ENSG00000127318
IL22RA1,ENSG00000142677
IL33,ENSG00000137033
IL4,ENSG00000113520
INS,ENSG00000254647
IRGM,ENSG00000237693
ISL1,ENSG00000016082
KLF4,ENSG00000136826
LPCAT3,ENSG00000111684
LRFN5,ENSG00000165379
LYN,ENSG00000254087
MACIR,ENSG00000181751
MAPK14,ENSG00000112062
MAPK7,ENSG00000166484
MDK,ENSG00000110492
MEFV,ENSG00000103313
METRNL,ENSG00000176845
MFHAS1,ENSG00000147324
MKRN2,ENSG00000075975
MMP26,ENSG00000167346
MVK,ENSG00000110921
NLRC3,ENSG00000167984
NLRP12,ENSG00000142405
NLRP3,ENSG00000162711
NR1D1,ENSG00000126368
NR1H3,ENSG00000025434
NR1H4,ENSG00000012504
OTULIN,ENSG00000154124
PLCG1,ENSG00000124181
PLK2,ENSG00000145632
PPARA,ENSG00000186951
PPARD,ENSG00000112033
PPARG,ENSG00000132170
PRKCD,ENSG00000163932
PROC,ENSG00000115718
PTGER4,ENSG00000171522
PTGIS,ENSG00000124212
PTPN2,ENSG00000175354
PTPN6,ENSG00000111679
PYDC2,ENSG00000253548
RB1,ENSG00000139687
REG3A,ENSG00000172016
RHBDF2,ENSG00000129667
RORA,ENSG00000069667
RPS19,ENSG00000105372
SAA1,ENSG00000173432
SELENOS,ENSG00000131871
SHARPIN,ENSG00000179526
SIGLEC10,ENSG00000142512
SIRPA,ENSG00000198053
SLAMF8,ENSG00000158714
SLC39A8,ENSG00000138821
SMPDL3B,ENSG00000130768
SRC,ENSG00000197122
STAT3,ENSG00000168610
SYK,ENSG00000165025
TEK,ENSG00000120156
TNFAIP3,ENSG00000118503
TNFAIP6,ENSG00000123610
TNFAIP8L2,ENSG00000163154
TNFRSF1A,ENSG00000067182
TNFRSF1B,ENSG00000028137
TREM2,ENSG00000095970
TRIM45,ENSG00000134253
TRIM65,ENSG00000141569
TYRO3,ENSG00000092445
VPS35,ENSG00000069329
YES1,ENSG00000176105
