gene_symbol,ensembl_gene_id
ABL1,ENSG00000097007
AK2,ENSG00000004455
AMD1,ENSG00000123505
ANP32E,ENSG00000143401
ARID4A,ENSG00000032219
ASF1A,ENSG00000111875
ASF1B,ENSG00000105011
ATAD2,ENSG00000156802
ATF5,ENSG00000169136
ATRX,ENSG00000085224
AURKA,ENSG00000087586
AURKB,ENSG00000178999
BARD1,ENSG00000138376
BCL3,ENSG00000069399
BIRC5,ENSG00000089685
BRCA1,ENSG00000012048
BRCA2,ENSG00000139618
BRMS1L,ENSG00000100916
BUB1,ENSG00000169679
BUB1B,ENSG00000156970
BUB3,ENSG00000154473
CASP8AP2,ENSG00000118412
CBX1,ENSG00000108468
CBX5,ENSG00000094916
CCNA2,ENSG00000145386
CCNB2,ENSG00000157456
CCND1,ENSG00000110092
CCNE1,ENSG00000105173
CCNF,ENSG00000162063
CCNT1,ENSG00000129315
CCP110,ENSG00000103540
CDC20,ENSG00000117399
CDC25A,ENSG00000164045
CDC25B,ENSG00000101224
CDC27,ENSG00000004897
CDC45,ENSG00000093009
CDC6,ENSG00000094804
CDC7,ENSG00000097046
CDCA3,ENSG00000111665
CDCA8,ENSG00000134690
CDK1,ENSG00000170312
CDK4,ENSG00000135446
CDKN1A,ENSG00000124762
CDKN1B,ENSG00000111276
CDKN2A,ENSG00000147889
CDKN2C,ENSG00000123080
CDKN3,ENSG00000100526
CENPA,ENSG00000115163
CENPE,ENSG00000138778
CENPF,ENSG00000117724
CENPM,ENSG00000100162
CHAF1A,ENSG00000167670
CHEK1,ENSG00000149554
CHEK2,ENSG00000183765
CHMP1A,ENSG00000131165
CIT,ENSG00000122966
CKS1B,ENSG00000173207
CKS2,ENSG00000123975
CNOT9,ENSG00000144580
CSE1L,ENSG00000124207
CTCF,ENSG00000102974
CTPS1,ENSG00000171793
CUL1,ENSG00000055130
CUL3,ENSG00000036257
CUL4A,ENSG00000139842
CUL5,ENSG00000166266
DBF4,ENSG00000006634
DCK,ENSG00000156136
DCLRE1B,ENSG00000118655
DCTPP1,ENSG00000179958
DDX39A,ENSG00000123136
DEK,ENSG00000124795
DEPDC1,ENSG00000024526
DIAPH3,ENSG00000139734
DKC1,ENSG00000130826
DLGAP5,ENSG00000126787
DMD,ENSG00000198947
DNMT1,ENSG00000130816
DONSON,ENSG00000159147
DR1,ENSG00000117505
DSCC1,ENSG00000136982
DTYMK,ENSG00000168393
DUT,ENSG00000128951
E2F1,ENSG00000101412
E2F2,ENSG00000007968
E2F3,ENSG00000112242
E2F4,ENSG00000205250
E2F8,ENSG00000129173
EED,ENSG00000074266
EFNA5,ENSG00000184349
EGF,ENSG00000138798
EIF2S1,ENSG00000134001
ESPL1,ENSG00000135476
EWSR1,ENSG00000182944
EXO1,ENSG00000174371
EXOSC8,ENSG00000120699
EZH2,ENSG00000106462
FANCC,ENSG00000158169
FBXO5,ENSG00000112029
FOXN3,ENSG00000053254
G3BP1,ENSG00000145907
GINS1,ENSG00000101003
GINS2,ENSG00000131153
GINS3,ENSG00000181938
GINS4,ENSG00000147536
GSPT1,ENSG00000103342
H2AX,ENSG00000188486
H2AZ1,ENSG00000164032
H2AZ2,ENSG00000105968
H2BC12,ENSG00000197903
HELLS,ENSG00000119969
HIF1A,ENSG00000100644
HIRA,ENSG00000100084
HMGA1,ENSG00000137309
HMGB2,ENSG00000164104
HMGB3,ENSG00000029993
HMGN2,ENSG00000198830
HMMR,ENSG00000072571
HNRNPD,ENSG00000138668
HNRNPU,ENSG00000153187
HOXC10,ENSG00000180818
HSPA8,ENSG00000109971
HUS1,ENSG00000136273
ILF3,ENSG00000129351
INCENP,ENSG00000149503
ING3,ENSG00000071243
IPO7,ENSG00000205339
JPT1,ENSG00000189159
KATNA1,ENSG00000186625
KIF11,ENSG00000138160
KIF15,ENSG00000163808
KIF18B,ENSG00000186185
KIF20B,ENSG00000138182
KIF22,ENSG00000079616
KIF23,ENSG00000137807
KIF2C,ENSG00000142945
KIF4A,ENSG00000090889
KIF5B,ENSG00000170759
KMT5A,ENSG00000183955
KNL1,ENSG00000137812
KPNA2,ENSG00000182481
KPNB1,ENSG00000108424
LBR,ENSG00000143815
LIG1,ENSG00000105486
LIG3,ENSG00000005156
LMNB1,ENSG00000113368
LUC7L3,ENSG00000108848
LYAR,ENSG00000145220
MAD2L1,ENSG00000164109
MAP3K20,ENSG00000091436
MAPK14,ENSG00000112062
MARCKS,ENSG00000277443
MCM2,ENSG00000073111
MCM3,ENSG00000112118
MCM4,ENSG00000104738
MCM5,ENSG00000100297
MCM6,ENSG00000076003
MCM7,ENSG00000166508
MEIS1,ENSG00000143995
MEIS2,ENSG00000134138
MELK,ENSG00000165304
MKI67,ENSG00000148773
MLH1,ENSG00000076242
MMS22L,ENSG00000146263
MNAT1,ENSG00000020426
MRE11,ENSG00000020922
MSH2,ENSG00000095002
MT2A,ENSG00000125148
MTF2,ENSG00000143033
MTHFD2,ENSG00000065911
MXD3,ENSG00000213347
MYBL2,ENSG00000101057
MYC,ENSG00000136997
NAA38,ENSG00000183011
NAP1L1,ENSG00000187109
NASP,ENSG00000132780
NBN,ENSG00000104320
NCAPD2,ENSG00000010292
NCL,ENSG00000115053
NDC80,ENSG00000080986
NEK2,ENSG00000117650
NME1,ENSG00000239672
NOLC1,ENSG00000166197
NOP56,ENSG00000101361
NOTCH2,ENSG00000134250
NSD2,ENSG00000109685
NUDT21,ENSG00000167005
NUMA1,ENSG00000137497
NUP107,ENSG00000111581
NUP153,ENSG00000124789
NUP205,ENSG00000155561
NUP50,ENSG00000093000
NUP98,ENSG00000110713
NUSAP1,ENSG00000137804
ODC1,ENSG00000115758
ODF2,ENSG00000136811
ORC2,ENSG00000115942
ORC5,ENSG00000164815
ORC6,ENSG00000091651
PA2G4,ENSG00000170515
PAFAH1B1,ENSG00000007168
PAICS,ENSG00000128050
PAN2,ENSG00000135473
PBK,ENSG00000168078
PCNA,ENSG00000132646
PDS5B,ENSG00000083642
PHF5A,ENSG00000100410
PLK1,ENSG00000166851
PLK4,ENSG00000142731
PML,ENSG00000140464
PMS2,ENSG00000122512
PNN,ENSG00000100941
POLA2,ENSG00000014138
POLD1,ENSG00000062822
POLD2,ENSG00000106628
POLD3,ENSG00000077514
POLE,ENSG00000177084
POLE4,ENSG00000115350
POLQ,ENSG00000051341
POP7,ENSG00000172336
PPM1D,ENSG00000170836
PPP1R8,ENSG00000117751
PRC1,ENSG00000198901
PRDX4,ENSG00000123131
PRIM2,ENSG00000146143
PRKDC,ENSG00000253729
PRMT5,ENSG00000100462
PRPF4B,ENSG00000112739
PRPS1,ENSG00000147224
PSIP1,ENSG00000164985
PSMC3IP,ENSG00000131470
PTTG1,ENSG00000164611
PURA,ENSG00000185129
RACGAP1,ENSG00000161800
RAD1,ENSG00000113456
RAD21,ENSG00000164754
RAD23B,ENSG00000119318
RAD50,ENSG00000113522
RAD51AP1,ENSG00000111247
RAD51C,ENSG00000108384
RAD54L,ENSG00000085999
RAN,ENSG00000132341
RANBP1,ENSG00000099901
RASAL2,ENSG00000075391
RBBP7,ENSG00000102054
RBL1,ENSG00000080839
RBM14,ENSG00000239306
RFC1,ENSG00000035928
RFC2,ENSG00000049541
RFC3,ENSG00000133119
RNASEH2A,ENSG00000104889
RPA1,ENSG00000132383
RPA2,ENSG00000117748
RPA3,ENSG00000106399
RPS6KA5,ENSG00000100784
RRM2,ENSG00000171848
SAP30,ENSG00000164105
SFPQ,ENSG00000116560
SHMT1,ENSG00000176974
SLBP,ENSG00000163950
SLC12A2,ENSG00000064651
SLC38A1,ENSG00000111371
SLC7A1,ENSG00000139514
SLC7A5,ENSG00000103257
SMAD3,ENSG00000166949
SMARCC1,ENSG00000173473
SMC1A,ENSG00000072501
SMC2,ENSG00000136824
SMC3,ENSG00000108055
SMC4,ENSG00000113810
SMC6,ENSG00000163029
SNRPB,ENSG00000125835
SNRPD1,ENSG00000167088
SPAG5,ENSG00000076382
SPC24,ENSG00000161888
SPC25,ENSG00000152253
SQLE,ENSG00000104549
SRSF1,ENSG00000136450
SRSF10,ENSG00000188529
SRSF2,ENSG00000161547
SS18,ENSG00000141380
SSRP1,ENSG00000149136
STAG1,ENSG00000118007
STIL,ENSG00000123473
STMN1,ENSG00000117632
SUV39H1,ENSG00000101945
SYNCRIP,ENSG00000135316
TACC3,ENSG00000013810
TBRG4,ENSG00000136270
TCF19,ENSG00000137310
TENT4A,ENSG00000112941
TFDP1,ENSG00000198176
TFRC,ENSG00000072274
TGFB1,ENSG00000105329
TIMELESS,ENSG00000111602
TIPIN,ENSG00000075131
TK1,ENSG00000167900
TLE3,ENSG00000140332
TMPO,ENSG00000120802
TNPO2,ENSG00000105576
TOP1,ENSG00000198900
TOP2A,ENSG00000131747
TP53,ENSG00000141510
TPX2,ENSG00000088325
TRA2B,ENSG00000136527
TRAIP,ENSG00000183763
TRIP13,ENSG00000071539
TROAP,ENSG00000135451
TTK,ENSG00000112742
TUBB,ENSG00000196230
TUBG1,ENSG00000131462
UBE2C,ENSG00000175063
UBE2S,ENSG00000108106
UBE2T,ENSG00000077152
UBR7,ENSG00000012963
UCK2,ENSG00000143179
UNG,ENSG00000076248
UPF1,ENSG00000005007
USP1,ENSG00000162607
WDR90,ENSG00000161996
WEE1,ENSG00000166483
WRN,ENSG00000165392
XPO1,ENSG00000082898
XRCC6,ENSG00000196419
YTHDC1,ENSG00000083896
ZW10,ENSG00000086827
