category,gene,ARE_effect,enrichment_score
Query-UP,NDUFA3,Activates,0.18152149968650383
Query-UP,MRPL34,Activates,0.1679206160681033
Query-UP,ATP6V1D,Activates,0.15583710365415915
Query-UP,NDUFAB1,Activates,0.1552555730656591
Query-UP,UQCRFS1,Activates,0.15115173866091855
Query-UP,UQCRQ,Activates,0.1372781903692391
Query-UP,SOD1,Suppresses,-0.11903045371709361
Query-UP,ERCC2,Suppresses,-0.10907126098938516
Query-UP,NDUFS3,Suppresses,-0.09863066876787735
Query-UP,ATP6V1F,Suppresses,-0.09846352686363037
Query-UP,ATP5F1C,Suppresses,-0.09756927916394344
Query-UP,CYC1,Suppresses,-0.09388907631375386
Query-DOWN,SOD2,Activates,0.07012103538632797
Query-DOWN,GCLC,Activates,0.04510905816692072
Query-DOWN,BRCA1,Suppresses,-0.09426572327770195
Query-DOWN,SOD1,Suppresses,-0.11903045371709361
